Player Name,Age,Team,ASR,Nationality,Transfer History Count,MarketValue,missing_market_value,Age_norm,MarketValue_norm,Transfers_norm,Nationality_norm,ClubTier,ClubTier_norm,InputScore,SustainabilityScore
Oussama El Azzouzi,23,Bologna,6.63,MAR,4,2100000,False,0.575,0.00945945945945946,0.26666666666666666,1.0,3,1.0,2.851,2.325
Paris Irie,19,Stade Brestois 29 2,6.7,FRA,1,6400000,True,0.475,0.02882882882882883,0.06666666666666667,0.5,3,1.0,2.07,3.237
Pascal Groß,33,Borussia Dortmund,7.19,GER,5,6400000,False,0.825,0.02882882882882883,0.3333333333333333,1.0,2,0.6666666666666666,2.854,2.519
Paulo Gazzaniga,33,Girona FC,6.98,ARG,5,3600000,False,0.825,0.016216216216216217,0.3333333333333333,1.0,3,1.0,3.175,2.198
Petar Bočkaj,28,GNK Dinamo Zagreb,7.8,CRO,5,780000,False,0.7,0.0035135135135135136,0.3333333333333333,1.0,3,1.0,3.037,2.568
Peter Kiedl,21,Sturm Graz II,7.18,AUT,1,320000,False,0.525,0.0014414414414414415,0.06666666666666667,0.5,3,1.0,2.093,3.43
Peter Olayinka,29,FK Crvena zvezda,7.07,NGR,5,4600000,False,0.725,0.02072072072072072,0.3333333333333333,1.0,3,1.0,3.079,2.296
Phil Foden,24,Manchester City,7.28,ENG,1,123000000,False,0.6,0.5540540540540541,0.06666666666666667,1.0,1,0.3333333333333333,2.554,2.85
Philipp Köhn,27,AS Monaco,6.97,SUI,5,4100000,False,0.675,0.018468468468468467,0.3333333333333333,1.0,3,1.0,3.027,2.303
Piero Hincapié,23,Bayer 04 Leverkusen,7.14,ECU,3,46000000,False,0.575,0.2072072072072072,0.2,1.0,3,1.0,2.982,2.394
Pierre Kalulu,24,Juventus,6.96,FRA,4,25000000,False,0.6,0.11261261261261261,0.26666666666666666,0.5,1,0.3333333333333333,1.813,3.839
Pierre Lees-Melou,31,Stade Brestois,7.14,FRA,4,6600000,False,0.775,0.02972972972972973,0.26666666666666666,0.5,3,1.0,2.571,2.777
Pietro Comi,19,Atalanta U23,6.77,ITA,0,260000,False,0.475,0.0011711711711711711,0.0,0.5,3,1.0,1.976,3.426
